VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_612GK,612,11985 Heritage Oaks Place,Auburn,CA,6061.0,,,,
vha_612QB,612,525 21st Street,Oakland,CA,6001.0,,,,
vha_612QC,612,760 Cypress Avenue,Redding,CA,6089.0,,,,
vha_612QD,612,2860 Howe Road,Martinez,CA,6013.0,,,,
vha_613,613,510 Butler Avenue,Martinsburg,WV,54003.0,186.0,5.0,169.0,12.0
vha_613GA,613,200 Glen Street,Cumberland,MD,24001.0,,,,
vha_613GB,613,1101 Opal Court,Hagerstown,MD,24043.0,,,,
vha_613GC,613,170 Prosperity Drive,Winchester,VA,51069.0,,,,
vha_613GD,613,91 Pine Street,Franklin,WV,54071.0,,,,
vha_613GE,613,15 Grant Street,Petersburg,WV,54023.0,,,,
vha_613GF,613,1755 South High Street,Harrisonburg,VA,51660.0,,,,
vha_613GG,613,1433 Porter Street,Frederick,MD,24021.0,,,,
vha_614,614,1030 Jefferson Avenue,Memphis,TN,47157.0,403.0,29.0,355.0,19.0
vha_614GA,614,1114 Commonwealth Blvd,Tupelo,MS,28081.0,,,,
vha_614GB,614,2908 South Caraway Road,Jonesboro,AR,5031.0,,,,
vha_614GC,614,1700 Crescent Meadows Drive,Holly Springs,MS,28093.0,,,,
vha_614GD,614,70 Harbert Drive North,Savannah,TN,47071.0,,,,
vha_614GE,614,3461 Austin Peay Highway,Memphis,TN,47157.0,403.0,29.0,355.0,19.0
vha_614GF,614,1689 Nonconnah Boulevard,Memphis,TN,47157.0,403.0,29.0,355.0,19.0
vha_614GG,614,180 Old Hickory Boulevard,Jackson,TN,47113.0,,,,
vha_614GI,614,1067 Vendall Road,Dyersburg,TN,47045.0,,,,
vha_614GN,614,125 Quarles Lane,West Helena,AR,5107.0,,,,
vha_614QA,614,1407 Union Avenue,Memphis,TN,47157.0,403.0,29.0,355.0,19.0
vha_618,618,One Veterans Drive,Minneapolis,MN,27053.0,552.0,60.0,439.0,53.0
vha_618BY,618,3520 Tower Avenue,Superior,WI,55031.0,,,,
vha_618GA,618,1212 Heckman Court,St. James,MN,27165.0,,,,
vha_618GB,618,990 West 41st Street,Hibbing,MN,27137.0,,,,
vha_618GD,618,1725 Legacy Parkway,Maplewood,MN,27123.0,,,,
vha_618GE,618,475 Chippewa Mall Drive,Chippewa Falls,WI,55017.0,,,,
vha_618GG,618,3551 Commercial Drive South West,Rochester,MN,27109.0,,,,
vha_618GH,618,10369 State Highway 27,Hayward,WI,55113.0,,,,
vha_618GI,618,7545 Veterans Drive,Ramsey,MN,27003.0,,,,
vha_618GJ,618,1111 Shakopee Town Square,Shakopee,MN,27139.0,,,,
vha_618GK,618,1665 West Main Street,Albert Lea,MN,27047.0,,,,
vha_618GL,618,1201 Harmon Place,Minneapolis,MN,27053.0,552.0,60.0,439.0,53.0
vha_618GM,618,2700A College Drive,Rice Lake,WI,55005.0,,,,
vha_618GN,618,1961 Premier Drive,Mankato,MN,27013.0,,,,
vha_618QA,618,1 Federal Drive,Fort Snelling,MN,27053.0,,,,
vha_618QB,618,720 East Miners Drive,Ely,MN,27137.0,,,,
vha_619,619,215 Perry Hill Road,Montgomery,AL,1101.0,538.0,25.0,502.0,11.0
vha_619A4,619,2400 Hospital Road,Tuskegee,AL,1087.0,,,,
vha_619GA,619,1310 13th Avenue,Columbus,GA,13215.0,,,,
vha_619GB,619,2020 Alexander Drive,Dothan,AL,1069.0,,,,
vha_619GD,619,301 Andrews Avenue,Fort Rucker,AL,1045.0,,,,
vha_619GE,619,159 Whetstone Street,Monroeville,AL,1099.0,,,,
vha_619GF,619,8105 Veterans Way,Montgomery,AL,1101.0,538.0,25.0,502.0,11.0
vha_619QA,619,3753 Ross Clark Circle,Dothan,AL,1069.0,,,,
vha_619QB,619,6635 Bass Road,Fort Benning,GA,13053.0,,,,
vha_620,620,2094 Albany Post Road,Montrose,NY,36119.0,,,,
vha_620A4,620,41 Castle Point Road,Wappingers Falls,NY,36027.0,,,,
vha_620GA,620,345 North Main Street,New City,NY,36087.0,,,,
vha_620GB,620,1875 Route 6,Carmel,NY,36079.0,,,,
vha_620GD,620,30 Hatfield Lane,Goshen,NY,36071.0,,,,
vha_620GE,620,100 Pike Street,Port Jervis,NY,36071.0,,,,
vha_620GF,620,55 Sturgis Road,Monticello,NY,36105.0,,,,
vha_620GG,620,488 Freedom Plains Road,Poughkeepsie,NY,36027.0,,,,
vha_620GH,620,2881 Church Street,Pine Plains,NY,36027.0,,,,
vha_620QA,620,2094 Albany Post Road,Montrose,NY,36119.0,,,,
vha_620QC,620,2094 Albany Post Road,Montrose,NY,36119.0,,,,
vha_621,621,Corner of Lamont Street and Veterans Way,Mountain Home,TN,47179.0,446.0,42.0,379.0,25.0
vha_621BY,621,8033 Ray Mears Boulevard,Knoxville,TN,47093.0,,,,
vha_621GA,621,401 Scenic Drive,Rogersville,TN,47073.0,,,,
